step,cmd_vx,cmd_vy,cmd_wz,vx,vy,wz,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
110.000000,1.000000,0.000000,0.000000,0.591290,0.012148,0.267281,0.559692,-0.955500,-0.987143,0.804783,0.957488,0.976984,-0.844486,0.780499,0.964146,-0.682676,-0.926788,-0.859852
111.000000,1.000000,0.000000,0.000000,0.611557,-0.000742,0.262901,0.598840,-0.959192,-0.986994,0.745731,0.951439,0.984231,-0.806653,0.908900,0.983096,-0.601742,-0.960535,-0.929954
112.000000,1.000000,0.000000,0.000000,0.637944,-0.015240,0.280773,0.532869,-0.971760,-0.983277,0.656694,0.903634,0.983945,-0.812860,0.964409,0.971273,-0.326104,-0.957915,-0.774172
113.000000,1.000000,0.000000,0.000000,0.659595,-0.029847,0.246482,0.531186,-0.970533,-0.977009,0.678685,0.691626,0.986470,-0.774706,0.984042,0.977409,-0.729477,-0.969467,-0.925620
114.000000,1.000000,0.000000,0.000000,0.662755,-0.031777,0.231922,0.210848,-0.972258,-0.985200,0.384450,-0.301771,0.993466,-0.588766,0.974275,0.962820,-0.683468,-0.979157,-0.857804
115.000000,1.000000,0.000000,0.000000,0.660043,-0.024577,0.193476,0.196113,-0.976106,-0.981229,0.290468,-0.650123,0.991936,-0.530321,0.981354,0.964581,-0.692053,-0.971783,-0.744824
116.000000,1.000000,0.000000,0.000000,0.656819,-0.011690,0.180948,0.323139,-0.983453,-0.919243,0.349987,-0.740106,0.987292,-0.246938,0.968069,0.958605,-0.389544,-0.884159,-0.081063
117.000000,1.000000,0.000000,0.000000,0.646699,0.013321,0.162363,-0.438769,-0.971059,-0.733209,-0.042048,-0.926555,0.990219,-0.317210,0.977488,0.971525,-0.298455,-0.825287,0.019253
118.000000,1.000000,0.000000,0.000000,0.656418,0.047452,0.276538,-0.288170,-0.907654,0.519567,-0.506120,-0.586056,0.966864,0.186837,0.973546,0.987308,0.514996,0.604225,0.613423
119.000000,1.000000,0.000000,0.000000,0.661101,0.093269,0.347138,-0.720621,0.401755,0.967022,-0.701372,-0.762533,0.982031,0.115651,0.979533,0.657144,0.565523,0.974330,0.985791
120.000000,1.000000,0.000000,0.000000,0.632840,0.079399,0.305485,-0.703349,0.991146,0.991600,-0.788538,0.630847,-0.891886,0.537200,0.997122,0.269402,0.697779,0.996656,0.991794
121.000000,1.000000,0.000000,0.000000,0.611335,0.066365,0.321738,-0.906348,0.987872,0.965869,-0.155770,0.260665,-0.991593,0.722511,0.985593,0.233232,0.746255,0.993531,0.977781
122.000000,1.000000,0.000000,0.000000,0.601258,0.060408,0.332475,-0.856967,0.990552,0.971988,-0.493148,-0.515217,-0.995251,0.728677,0.977028,-0.929102,0.729534,0.988636,0.985538
123.000000,1.000000,0.000000,0.000000,0.603499,0.051419,0.332345,-0.901275,0.990269,0.974452,0.026152,-0.728758,-0.993892,0.854290,0.678442,-0.928973,0.758188,0.992927,0.985440
124.000000,1.000000,0.000000,0.000000,0.611516,0.035098,0.372920,-0.880432,0.985498,0.947310,-0.224204,-0.783211,-0.993839,0.723528,-0.421249,-0.942143,0.874616,0.992490,0.975617
125.000000,1.000000,0.000000,0.000000,0.624893,0.022641,0.422257,-0.887215,0.981211,0.976259,-0.059466,-0.918101,-0.994565,0.922531,-0.900186,-0.968592,0.900373,0.986850,0.978026
126.000000,1.000000,0.000000,0.000000,0.648262,0.017413,0.462310,-0.930486,0.972989,0.966919,-0.557279,-0.962258,-0.985777,0.854158,-0.968871,-0.965430,0.932657,0.986297,0.980674
127.000000,1.000000,0.000000,0.000000,0.677924,0.014414,0.462793,-0.952447,0.982125,0.975649,-0.275562,-0.974795,-0.982341,0.889536,-0.970603,-0.960311,0.939234,0.994585,0.985328
128.000000,1.000000,0.000000,0.000000,0.709460,0.010730,0.460416,-0.958793,0.974735,0.972111,-0.485004,-0.984954,-0.968472,0.794548,-0.987536,-0.951940,0.935685,0.994036,0.983797
129.000000,1.000000,0.000000,0.000000,0.739874,0.003111,0.445914,-0.960797,0.980887,0.972804,-0.325510,-0.984916,-0.952177,0.742098,-0.989555,-0.900258,0.918686,0.995241,0.982527
