step,cmd_vx,cmd_vy,cmd_wz,vx,vy,wz,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
110.000000,1.000000,0.000000,0.000000,0.791520,-0.048884,0.297195,0.214545,-0.101520,-1.446973,0.679071,-0.251220,1.651100,-0.480967,0.366235,1.758600,-0.208879,0.167435,-1.187011
111.000000,1.000000,0.000000,0.000000,0.797707,-0.055320,0.323963,0.140574,-0.507253,-1.374953,0.541727,-0.084419,1.738704,-0.503845,0.304652,1.842753,-0.159012,0.013078,-1.249846
112.000000,1.000000,0.000000,0.000000,0.801723,-0.058901,0.321544,0.266819,-0.770756,-1.231718,0.694730,-0.152195,1.706136,-0.389161,0.112968,1.664222,-0.222085,-0.263311,-1.280107
113.000000,1.000000,0.000000,0.000000,0.817684,-0.053489,0.263444,0.251309,-1.099793,-0.819567,0.673818,-0.099138,2.158375,-0.827274,0.466027,1.864406,-0.168649,-0.594020,-1.208163
114.000000,1.000000,0.000000,0.000000,0.822562,-0.036980,0.214852,0.237741,-1.341811,-0.311631,0.554392,-0.437993,2.216692,-0.656415,0.376204,1.492664,-0.202087,-0.868174,-1.037402
115.000000,1.000000,0.000000,0.000000,0.842101,-0.016895,0.182333,0.090281,-1.457762,0.112204,0.479601,-0.398730,2.586591,-0.759279,0.457069,1.797040,-0.224721,-1.088820,-0.592738
116.000000,1.000000,0.000000,0.000000,0.856170,0.007240,0.178066,0.093205,-1.573090,0.735025,0.442390,-0.559231,2.691077,-0.482737,0.339480,1.627127,-0.318240,-1.399596,-0.060335
117.000000,1.000000,0.000000,0.000000,0.892061,0.030901,0.177186,-0.037091,-1.483553,1.085939,0.321668,-0.413880,3.027462,-0.634221,0.484532,1.979433,-0.276668,-1.479110,0.412266
118.000000,1.000000,0.000000,0.000000,0.933660,0.049355,0.219542,-0.045454,-1.353109,1.336539,0.125864,-0.192078,3.084645,-0.374226,0.485695,2.067281,-0.319669,-1.394816,0.720152
119.000000,1.000000,0.000000,0.000000,0.926636,0.041722,0.337883,0.005747,-1.247588,1.489771,-0.067252,-0.090102,3.364059,-0.227945,0.483072,1.952687,-0.235340,-1.394759,1.180315
120.000000,1.000000,0.000000,0.000000,0.867650,0.015729,0.262867,0.216517,-0.784042,1.817788,0.244398,0.279386,2.394985,0.347924,0.435344,1.763606,-0.182288,-0.919232,1.868562
121.000000,1.000000,0.000000,0.000000,0.802739,-0.002327,0.324564,-0.209065,-0.583286,1.848855,-0.123485,0.947264,1.251405,0.815550,0.143227,1.373266,0.186534,0.363307,1.867256
122.000000,1.000000,0.000000,0.000000,0.750294,-0.019361,0.397268,-0.480750,-0.255266,2.041254,-0.039472,0.860923,-0.301175,0.592360,0.385591,0.179948,0.503077,1.017451,1.961765
123.000000,1.000000,0.000000,0.000000,0.737409,-0.022807,0.362765,-0.409063,0.190356,1.927155,0.080207,0.492587,-0.890748,0.489670,0.492082,-0.437634,0.218907,1.220516,2.168975
124.000000,1.000000,0.000000,0.000000,0.748728,-0.018058,0.336792,-0.529233,0.305468,1.550569,-0.114462,0.385420,-1.297472,0.465111,0.312021,-0.623956,0.194684,1.169582,2.168636
125.000000,1.000000,0.000000,0.000000,0.766965,-0.012491,0.254225,-0.254805,0.317444,1.592941,-0.175363,-0.076836,-1.437159,0.363862,0.162880,-0.765059,0.282096,0.933068,2.109223
126.000000,1.000000,0.000000,0.000000,0.791310,-0.001668,0.214916,-0.633638,0.297545,1.571888,-0.262683,-0.345081,-1.138413,0.387520,-0.124678,-0.750490,0.250925,0.809322,2.194530
127.000000,1.000000,0.000000,0.000000,0.811653,-0.001272,0.209416,-0.546268,0.043606,1.789283,-0.110266,-0.787916,-0.927481,0.297253,-0.446876,-0.738800,0.506925,0.931481,2.064823
128.000000,1.000000,0.000000,0.000000,0.828311,-0.005251,0.265773,-0.918537,-0.178713,1.816902,0.008145,-1.074129,-0.766653,0.255372,-0.783193,-0.747948,0.624225,0.879281,2.039920
129.000000,1.000000,0.000000,0.000000,0.848080,-0.015449,0.331304,-0.939171,-0.139096,1.910858,0.085039,-1.241695,-0.619111,0.266775,-0.991579,-0.618371,0.657856,0.822893,1.988501
130.000000,1.000000,0.000000,0.000000,0.872489,-0.032273,0.391353,-0.734653,-0.205850,2.262351,0.083578,-1.469957,-0.055903,0.340520,-1.154200,-0.516039,0.837756,0.718983,2.136758
131.000000,1.000000,0.000000,0.000000,0.907543,-0.054800,0.427699,-0.290151,0.073546,2.413792,0.012700,-1.677342,0.378872,0.251440,-1.294348,-0.110948,0.943470,0.819284,2.244626
132.000000,1.000000,0.000000,0.000000,0.958684,-0.069341,0.379608,-0.318982,0.238522,2.502144,-0.038163,-1.509811,0.840624,0.025140,-1.430505,0.210177,0.618447,0.503236,2.674377
133.000000,1.000000,0.000000,0.000000,1.007618,-0.092838,0.394235,-0.202559,0.407753,2.465148,-0.269620,-1.092745,1.274870,0.090350,-1.458841,0.785616,0.522105,0.757539,2.460696
134.000000,1.000000,0.000000,0.000000,0.997218,-0.090217,0.340979,0.226557,0.309563,2.500306,-0.273180,-1.073667,1.850860,-0.151452,-1.268523,1.164092,0.430973,0.286013,2.360347
135.000000,1.000000,0.000000,0.000000,0.934118,-0.055915,0.241258,0.092705,0.745447,1.800096,-0.047714,-0.652613,1.973293,-0.318766,-0.717282,1.526598,-0.210058,0.001093,2.078569
136.000000,1.000000,0.000000,0.000000,0.858994,-0.044506,0.305391,-0.032015,1.035745,0.719145,-0.138824,-0.287188,1.940123,-0.213427,0.039568,1.769272,-0.170169,-0.030430,1.430508
