version,experiment_id,git_commit,configuration,environment,algorithm,seed,environment_steps,wall_clock_seconds,checkpoint,status,deterministic_return,stochastic_return,tracking_error_xy,yaw_error,survival_rate,forward_gain,lag_steps,entropy,action_std,kl,alpha_temp,alpha_kl,q_bias,target_clip_fraction,notes
v00,reppo_v29_dualclip__deterministic__E2,e55a861,config/mjlab_go2_reppo_v29_dualclip.yaml,Unitree-Go2-Flat,REPPO,1,39321600,,logs/safe_rl/go2_velocity/2026-08-03_10-10-40_go2_v29_dualclip_s1/model_299.pt,evaluated,32.9915,,0.7376,0.1863,0.6000,,,,,,,,,,"protocol=E2; mode=deterministic; eval_seeds=[3, 7, 11, 21, 33]; E2_survival=0.60"
v00,reppo_v30_atoms151__deterministic__E2,e55a861,config/mjlab_go2_reppo_v30_atoms151.yaml,Unitree-Go2-Flat,REPPO,1,39321600,,logs/safe_rl/go2_velocity/2026-08-03_11-02-06_go2_v30_atoms151_s1/model_299.pt,evaluated,39.9421,,0.7067,0.1879,0.8000,,,,,,,,,,"protocol=E2; mode=deterministic; eval_seeds=[3, 7, 11, 21, 33]; E2_survival=0.80"
v00,reppo_v00_s1__deterministic__E1,e55a861,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,1,39321600,3499,logs/safe_rl/go2_v00/2026-08-03_12-31-06_reppo_v00_s1/model_299.pt,evaluated,48.4261,,0.4457,0.1516,0.9375,,,-5.9851,0.5001,0.0998,0.0027,0.0438,0.0484,0.0014,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=0.60"
v00,reppo_v00_s1__stochastic__E1,e55a861,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,1,39321600,3499,logs/safe_rl/go2_v00/2026-08-03_12-31-06_reppo_v00_s1/model_299.pt,evaluated,,45.3363,0.4411,0.1769,0.9375,,,-5.9851,0.5001,0.0998,0.0027,0.0438,0.0484,0.0014,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,reppo_v00_s2__deterministic__E1,e55a861,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,2,39321600,3259,logs/safe_rl/go2_v00/2026-08-03_13-29-24_reppo_v00_s2/model_299.pt,evaluated,44.7573,,0.5047,0.1755,0.8411,,,-5.9820,0.4934,0.0998,0.0029,0.0459,0.0501,0.0012,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=0.40"
v00,reppo_v00_s2__stochastic__E1,e55a861,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,2,39321600,3259,logs/safe_rl/go2_v00/2026-08-03_13-29-24_reppo_v00_s2/model_299.pt,evaluated,,40.9420,0.5578,0.2095,0.8411,,,-5.9820,0.4934,0.0998,0.0029,0.0459,0.0501,0.0012,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,reppo_v00_s4__deterministic__E1,e55a861,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,4,39321600,3498,logs/safe_rl/go2_v00/2026-08-03_13-40-13_reppo_v00_s4/model_299.pt,evaluated,49.8905,,0.4180,0.1503,0.9688,,,-6.0146,0.5082,0.0997,0.0025,0.0420,0.0450,0.0010,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=1.00"
v00,reppo_v00_s4__stochastic__E1,e55a861,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,4,39321600,3498,logs/safe_rl/go2_v00/2026-08-03_13-40-13_reppo_v00_s4/model_299.pt,evaluated,,44.7129,0.4896,0.1836,0.9635,,,-6.0146,0.5082,0.0997,0.0025,0.0420,0.0450,0.0010,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,reppo_v00_s3__deterministic__E1,e55a861,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,3,39321600,3441,logs/safe_rl/go2_v00/2026-08-03_14-23-43_reppo_v00_s3/model_299.pt,evaluated,49.0701,,0.4287,0.1640,0.9583,,,-5.9979,0.5223,0.0996,0.0029,0.0448,0.0697,0.0012,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=0.60"
v00,reppo_v00_s3__stochastic__E1,e55a861,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,3,39321600,3441,logs/safe_rl/go2_v00/2026-08-03_14-23-43_reppo_v00_s3/model_299.pt,evaluated,,43.1019,0.5149,0.2064,0.9583,,,-5.9979,0.5223,0.0996,0.0029,0.0448,0.0697,0.0012,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
